AttractionID,AttractionName,CostPerVisit,Nature,Museum ,Landmark,FamilyFriendly,Active,Arts,,Level ,Meaning
1,Central Park,0,3,2,3,3,3,2,,1,No relevance
2,The National 9/11 Memorial & Museum,33,1,3,2,2,1,2,,2,Some relevance
3,The Metropolitan Museum of Art,30,1,3,2,2,1,3,,3,High relevance
4,Empire State Building,79,1,1,3,3,1,1,,,
5,The High Line,0,3,1,3,3,3,1,,,
6,Top of the Rock,40,1,1,3,3,1,1,,,
7,Statue of Liberty,0,2,1,3,3,1,1,,,
8,Times Square,0,1,1,3,2,1,1,,,
9,Broadway Show,128.5,1,1,1,2,1,3,,,
10,Grand Central Terminal,0,1,1,3,2,1,2,,,
11,Brooklyn Bridge,0,2,1,3,3,1,2,,,
12,American Musuem of Natural History,30,2,3,2,3,1,3,,,
13,Staten Island Ferry,0,2,1,2,3,1,1,,,
14,SUMMIT One Vanderbilt,57,1,1,3,3,1,1,,,
15,Chelsea Market,0,1,1,3,2,1,1,,,
16,NY Public Library,0,1,2,3,2,1,2,,,
17,Rockerfeller Centre,0,1,1,3,3,1,1,,,
18,MoMA,30,1,3,2,3,1,3,,,
19,One World Observatory,49,1,1,3,3,1,1,,,
20,Bryant Park,0,2,1,3,3,3,1,,,
21,Intrepid Museum ,36,1,3,1,3,1,3,,,
22,Shopping on Fifth Avenue,0,1,1,3,3,1,1,,,
23,Shopping at SoHo,0,1,1,3,3,1,1,,,
24,Roosevelt Island,0,2,1,3,3,3,1,,,
